serial,band   ,ssid           ,wireless_mode,channel,bandwidth,authentication,wpa_passwd,test_type,protocol_type,wep_encrypt,wep_passwd,hide_ssid,hide_type
1,2.4G,ASUSAX5400_2.4G,自动       ,1,20 MHz      ,Open System           ,           ,tx rx    ,TCP          ,           ,        ,否         ,
2,2.4G,ASUSAX5400_2.4G,自动       ,1,40 MHz      ,WPA2-Personal       ,12345678,tx rx    ,TCP          ,           ,        ,否         ,
3,2.4G,ASUSAX5400_2.4G,自动       ,2,20/40 MHz   ,WPA3-Personal         ,12345678,tx rx    ,TCP          ,           ,        ,是         ,SAE
4,2.4G,ASUSAX5400_2.4G,自动       ,2,20 MHz   ,WPA/WPA2-Personal         ,12345678,tx rx    ,TCP          ,           ,        ,否         ,
5,2.4G,ASUSAX5400_2.4G,自动       ,3,40 MHz   ,WPA2/WPA3-Personal         ,12345678,tx rx    ,TCP          ,           ,        ,否         ,
6,2.4G,ASUSAX5400_2.4G,自动       ,3,20/40 MHz   ,Open System         ,           ,tx rx    ,TCP          ,           ,        ,否         ,
7,2.4G,ASUSAX5400_2.4G,自动       ,4,20 MHz      ,WPA2-Personal    ,12345678,tx rx    ,TCP          ,           ,        ,否         ,
8,2.4G,ASUSAX5400_2.4G,自动       ,4,40 MHz      ,WPA3-Personal    ,12345678,tx rx    ,TCP          ,           ,        ,否         ,
9,2.4G,ASUSAX5400_2.4G,自动       ,5,20/40 MHz   ,WPA/WPA2-Personal   ,12345678,tx rx    ,TCP          ,           ,        ,否         ,
10,2.4G,ASUSAX5400_2.4G,自动       ,5,20 MHz      ,WPA2/WPA3-Personal   ,12345678,tx rx    ,TCP          ,           ,        ,是         ,PSK
11,2.4G,ASUSAX5400_2.4G,自动       ,6,40 MHz      ,Open System           ,           ,tx rx    ,TCP          ,           ,        ,否         ,
12,2.4G,ASUSAX5400_2.4G,自动       ,6,20/40 MHz   ,WPA2-Personal           ,12345678,tx rx    ,TCP          ,           ,        ,否         ,
13,2.4G,ASUSAX5400_2.4G,自动       ,7,20 MHz      ,WPA3-Personal         ,12345678,tx rx    ,TCP          ,           ,        ,否         ,
14,2.4G,ASUSAX5400_2.4G,自动       ,7,40 MHz      ,WPA/WPA2-Personal         ,12345678,tx rx    ,TCP          ,           ,        ,否         ,
