serial    ,band   ,ssid        ,wireless_mode,channel,bandwidth,authentication,wpa_passwd,test_type,protocol_type,wep_encrypt,wep_passwd,hide_ssid,hide_type
1,2.4 GHz,H3CBX54_2.4G,b-only       ,AUTO   ,20M      ,WPA-PSK/WPA2-PSK混合  ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
2,2.4 GHz,H3CBX54_2.4G,b-only       ,1,20M      ,不加密                ,          ,tx rx    ,TCP           ,           ,          ,否        ,
3,2.4 GHz,H3CBX54_2.4G,b-only       ,2,20M      ,WPA2-PSK             ,12345678,tx rx    ,TCP           ,           ,          ,是        ,PSK
4,2.4 GHz,H3CBX54_2.4G,b-only       ,3,20M     ,WPA-PSK/WPA2-PSK混合   ,12345678,tx rx    ,TCP           ,           ,          ,否        ,
5,2.4 GHz,H3CBX54_2.4G,b-only       ,4,20M      ,WPA2-PSK/WPA3-SAE混合  ,12345678,tx rx    ,TCP          ,           ,         ,是        ,PSK
6,2.4 GHz,H3CBX54_2.4G,g-only       ,5,20M      ,不加密                 ,          ,tx rx    ,TCP          ,           ,          ,是        ,NONE
7,2.4 GHz,H3CBX54_2.4G,g-only       ,6,20M      ,WPA2-PSK             ,12345678,tx rx    ,TCP           ,           ,          ,否        ,
8,2.4 GHz,H3CBX54_2.4G,g-only       ,7,20M      ,WPA-PSK/WPA2-PSK混合   ,12345678,tx rx    ,TCP          ,           ,          ,是        ,PSK
9,2.4 GHz,H3CBX54_2.4G,g-only       ,8,20M      ,WPA2-PSK/WPA3-SAE混合  ,12345678,tx rx    ,TCP          ,           ,          ,是        ,PSK
10,2.4 GHz,H3CBX54_2.4G,b+g          ,9,20M      ,不加密                  ,          ,tx rx    ,TCP          ,           ,          ,否        ,
11,2.4 GHz,H3CBX54_2.4G,b+g          ,10,20M      ,WPA2-PSK              ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
12,2.4 GHz,H3CBX54_2.4G,b+g          ,11,20M      ,WPA-PSK/WPA2-PSK混合   ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
13,2.4 GHz,H3CBX54_2.4G,b+g          ,6,20M      ,WPA2-PSK/WPA3-SAE混合  ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
14,2.4 GHz,H3CBX54_2.4G,n-only       ,1,20M     ,WPA2-PSK/WPA3-SAE混合   ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
15,2.4 GHz,H3CBX54_2.4G,n-only       ,AUTO   ,自动      ,不加密                  ,          ,tx rx    ,TCP          ,           ,          ,是        ,NONE
16,2.4 GHz,H3CBX54_2.4G,n-only       ,1,自动      ,WPA2-PSK               ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
17,2.4 GHz,H3CBX54_2.4G,n-only       ,2,自动      ,WPA-PSK/WPA2-PSK混合    ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
