serial    ,band   ,ssid        ,wireless_mode,channel,bandwidth,authentication,wpa_passwd,test_type,protocol_type,wep_encrypt,wep_passwd,hide_ssid,hide_type
1,2.4 GHz,Linksys1200ac_2.4G,混合模式,1,仅使用20 MHz,无,,tx rx,TCP,,,否,
2,2.4 GHz,Linksys1200ac_2.4G,混合模式,1,仅使用20 MHz,WPA2个人,12345678,tx rx,TCP,,,否,
3,2.4 GHz,Linksys1200ac_2.4G,混合模式,2,仅使用20 MHz,WPA2/WPA混合个人模式,12345678,tx rx,TCP,,,是,PSK
4,2.4 GHz,Linksys1200ac_2.4G,混合模式,2,仅使用20 MHz,无,,tx rx,TCP,,,否,
5,2.4 GHz,Linksys1200ac_2.4G,混合模式,1,仅使用20 MHz,WEP,,tx rx,TCP,40/64位（10个十六进制数字）,1234567890,否,
6,2.4 GHz,Linksys1200ac_2.4G,混合模式,1,仅使用20 MHz,WEP,,tx rx,TCP,104/128位（26个十六进制数字）,1.23456789012346E+025,否,
8,2.4 GHz,Linksys1200ac_2.4G,混合模式,3,仅使用20 MHz,WPA2/WPA混合个人模式,12345678,tx rx,TCP,,,否,
9,2.4 GHz,Linksys1200ac_2.4G,混合模式,4,仅使用20 MHz,无,,tx rx,TCP,,,否,
10,2.4 GHz,Linksys1200ac_2.4G,混合模式,4,仅使用20 MHz,WPA2个人,12345678,tx rx,TCP,,,否,
11,2.4 GHz,Linksys1200ac_2.4G,混合模式,5,仅使用20 MHz,WPA2/WPA混合个人模式,12345678,tx rx,TCP,,,否,
12,2.4 GHz,Linksys1200ac_2.4G,混合模式,5,仅使用20 MHz,无,,tx rx,TCP,,,是,NONE
13,2.4 GHz,Linksys1200ac_2.4G,仅使用802.11b/g/n,6,仅使用20 MHz,WPA2个人,12345678,tx rx,TCP,,,否,
14,2.4 GHz,Linksys1200ac_2.4G,仅使用802.11b/g/n,6,仅使用20 MHz,WPA2/WPA混合个人模式,12345678,tx rx,TCP,,,否,
15,2.4 GHz,Linksys1200ac_2.4G,仅使用802.11b/g/n,7,仅使用20 MHz,无,,tx rx,TCP,,,否,
16,2.4 GHz,Linksys1200ac_2.4G,仅使用802.11b/g/n,7,仅使用20 MHz,WPA2个人,12345678,tx rx,TCP,,,否,
17,2.4 GHz,Linksys1200ac_2.4G,仅使用802.11b/g,8,仅使用20 MHz,WPA2/WPA混合个人模式,12345678,tx rx,TCP,,,否,
18,2.4 GHz,Linksys1200ac_2.4G,仅使用802.11b/g,8,仅使用20 MHz,无,,tx rx,TCP,,,否,
19,2.4 GHz,Linksys1200ac_2.4G,仅使用802.11b/g,1,仅使用20 MHz,WEP,,tx rx,TCP,40/64位（10个十六进制数字）,1234567890,否,
20,2.4 GHz,Linksys1200ac_2.4G,仅使用802.11b/g,1,仅使用20 MHz,WEP,,tx rx,TCP,40/64位（10个十六进制数字）,1234567890,否,
21,2.4 GHz,Linksys1200ac_2.4G,仅使用802.11b/g,9,仅使用20 MHz,WPA2个人,12345678,tx rx,TCP,,,否,
22,2.4 GHz,Linksys1200ac_2.4G,仅使用802.11b/g,9,仅使用20 MHz,WPA2/WPA混合个人模式,12345678,tx rx,TCP,,,否,
23,2.4 GHz,Linksys1200ac_2.4G,仅使用802.11b/g,10,仅使用20 MHz,无,,tx rx,TCP,,,否,
24,2.4 GHz,Linksys1200ac_2.4G,仅使用802.11b/g,10,仅使用20 MHz,WPA2个人,12345678,tx rx,TCP,,,否,
25,2.4 GHz,Linksys1200ac_2.4G,仅使用802.11b/g,11,仅使用20 MHz,WPA2/WPA混合个人模式,12345678,tx rx,TCP,,,否,
26,2.4 GHz,Linksys1200ac_2.4G,仅使用802.11b/g,11,仅使用20 MHz,无,,tx rx,TCP,,,否,
27,2.4 GHz,Linksys1200ac_2.4G,仅使用802.11b/g,12,仅使用20 MHz,WPA2个人,12345678,tx rx,TCP,,,否,
28,2.4 GHz,Linksys1200ac_2.4G,仅使用802.11b/g,12,仅使用20 MHz,WPA2/WPA混合个人模式,12345678,tx rx,TCP,,,否,
29,2.4 GHz,Linksys1200ac_2.4G,仅使用802.11n,13,仅使用20 MHz,无,,tx rx,TCP,,,否,
30,2.4 GHz,Linksys1200ac_2.4G,仅使用802.11n,13,仅使用20 MHz,WPA2个人,12345678,tx rx,TCP,,,否,
31,2.4 GHz,Linksys1200ac_2.4G,仅使用802.11n,1,仅使用20 MHz,WPA2/WPA混合个人模式,12345678,tx rx,TCP,,,否,
32,2.4 GHz,Linksys1200ac_2.4G,仅使用802.11g,2,仅使用20 MHz,无,,tx rx,TCP,,,否,
33,2.4 GHz,Linksys1200ac_2.4G,仅使用802.11g,3,仅使用20 MHz,WEP,,tx rx,TCP,40/64位（10个十六进制数字）,1234567890,否,
34,2.4 GHz,Linksys1200ac_2.4G,仅使用802.11g,4,仅使用20 MHz,WEP,,tx rx,TCP,104/128位（26个十六进制数字）,1.23456789012346E+025,是,WEP
35,2.4 GHz,Linksys1200ac_2.4G,仅使用802.11g,5,仅使用20 MHz,WPA2个人,12345678,tx rx,TCP,,,否,
36,2.4 GHz,Linksys1200ac_2.4G,仅使用802.11g,6,仅使用20 MHz,WPA2/WPA混合个人模式,12345678,tx rx,TCP,,,否,
37,2.4 GHz,Linksys1200ac_2.4G,仅使用802.11b,7,仅使用20 MHz,无,,tx rx,TCP,,,否,
38,2.4 GHz,Linksys1200ac_2.4G,仅使用802.11b,8,仅使用20 MHz,WEP,,tx rx,TCP,40/64位（10个十六进制数字）,1234567890,否,
39,2.4 GHz,Linksys1200ac_2.4G,仅使用802.11b,9,仅使用20 MHz,WEP,,tx rx,TCP,104/128位（26个十六进制数字）,1.23456789012346E+025,否,
40,2.4 GHz,Linksys1200ac_2.4G,仅使用802.11b,10,仅使用20 MHz,WPA2个人,12345678,tx rx,TCP,,,否,
41,2.4 GHz,Linksys1200ac_2.4G,仅使用802.11b,6,仅使用20 MHz,WPA2/WPA混合个人模式,12345678,tx rx,TCP,,,否,
42,5 GHz,Linksys1200ac_5G,混合模式,36,自动,无,,rx tx,TCP,,,否,
43,5 GHz,Linksys1200ac_5G,混合模式,36,仅使用20 MHz,WPA2个人,12345678,rx tx,TCP,,,否,
44,5 GHz,Linksys1200ac_5G,混合模式,40,40 MHz,WEP,,rx tx,TCP,40/64位（10个十六进制数字）,1234567890,否,
45,5 GHz,Linksys1200ac_5G,混合模式,44,自动,WEP,,rx tx,TCP,104/128位（26个十六进制数字）,1.23456789012346E+025,否,
46,5 GHz,Linksys1200ac_5G,混合模式,48,仅使用20 MHz,WPA2/WPA混合个人模式,12345678,rx tx,TCP,,,否,
47,5 GHz,Linksys1200ac_5G,混合模式,48,40 MHz,无,,rx tx,TCP,,,否,
48,5 GHz,Linksys1200ac_5G,混合模式,48,自动,WPA2个人,12345678,rx tx,TCP,,,否,
49,5 GHz,Linksys1200ac_5G,混合模式,48,仅使用20 MHz,WPA2/WPA混合个人模式,12345678,rx tx,TCP,,,否,
50,5 GHz,Linksys1200ac_5G,混合模式,149,40 MHz,无,,rx tx,TCP,,,否,
51,5 GHz,Linksys1200ac_5G,混合模式,149,自动,WPA2个人,12345678,rx tx,TCP,,,是,NONE
