serial   ,band   ,ssid           ,wireless_mode,channel,bandwidth   ,authentication,wpa_passwd,test_type,protocol_type,wep_encrypt,wep_passwd,hide_ssid,hide_type,wpa_encrypt,passwd_index,protect_frame
1,2.4G,Tplinkwr842_2.4G#$,11b only,自动,20MHz,OPEN,,tx rx    ,TCP          ,,,否,,,,
2,2.4G,Tplinkwr842_2.4G#$,11b only,1,20MHz,WPA-PSK,12345678,tx rx    ,TCP          ,,,否,,TKIP,,
3,2.4G,Tplinkwr842_2.4G#$,11b only,2,20MHz,WPA-PSK,12345678,tx rx    ,TCP          ,,,否,,AES,,
4,2.4G,Tplinkwr842_2.4G#$,11b only,3,20MHz,WPA2-PSK,12345678,tx rx    ,TCP          ,,,否,,TKIP,,
5,2.4G,Tplinkwr842_2.4G#$,11b only,4,20MHz,WPA2-PSK,12345678,tx rx    ,TCP          ,,,否,,AES,,
6,2.4G,Tplinkwr842_2.4G#$,11b only,5,20MHz,开放系统,,tx rx    ,TCP          ,十六进制,1234567890,否,,,,
7,2.4G,Tplinkwr842_2.4G#$,11b only,6,20MHz,开放系统,,tx rx    ,TCP          ,十六进制,12345678901234567890123456,否,,,,
8,2.4G,Tplinkwr842_2.4G#$,11b only,7,20MHz,共享秘钥,,tx rx    ,TCP          ,ASCII码,12345,否,,,,
9,2.4G,Tplinkwr842_2.4G#$,11b only,8,20MHz,共享秘钥,,tx rx    ,TCP          ,ASCII码,1234567890123,否,,,,
10,2.4G,Tplinkwr842_2.4G#$,11g only,9,20MHz,OPEN,,tx rx    ,TCP          ,,,否,,,,
11,2.4G,Tplinkwr842_2.4G#$,11g only,10,20MHz,WPA-PSK,12345678,tx rx    ,TCP          ,,,否,,TKIP,,
12,2.4G,Tplinkwr842_2.4G#$,11g only,11,20MHz,WPA2-PSK,12345678,tx rx    ,TCP          ,,,否,,AES,,
13,2.4G,Tplinkwr842_2.4G#$,11g only,1,20MHz,WPA-PSK,12345678,tx rx    ,TCP          ,,,否,,TKIP,,
14,2.4G,Tplinkwr842_2.4G#$,11g only,6,20MHz,WPA2-PSK,12345678,tx rx    ,TCP          ,,,否,,AES,,
15,2.4G,Tplinkwr842_2.4G#$,11g only,1,20MHz,开放系统,,tx rx    ,TCP          ,十六进制,1234567890,否,,,,
16,2.4G,Tplinkwr842_2.4G#$,11g only,2,20MHz,开放系统,,tx rx    ,TCP          ,十六进制,12345678901234567890123456,否,,,,
17,2.4G,Tplinkwr842_2.4G#$,11g only,3,20MHz,共享秘钥,,tx rx    ,TCP          ,ASCII码,12345,否,,,,
18,2.4G,Tplinkwr842_2.4G#$,11g only,4,20MHz,共享秘钥,,tx rx    ,TCP          ,ASCII码,1234567890123,否,,,,
19,2.4G,Tplinkwr842_2.4G#$,11n only,5,自动,OPEN,,tx rx    ,TCP          ,,,否,,,,
20,2.4G,Tplinkwr842_2.4G#$,11n only,6,20MHz,WPA-PSK,12345678,tx rx    ,TCP          ,,,否,,,,
