serial,band,ssid,wireless_mode,channel,bandwidth,security_mode,wpa_passwd,test_type,protocol_type,wep_encrypt,wep_passwd,hide_ssid,hide_type
1,2.4G,XiaomiAX3000_2.4G,,1,40/20MHz,超强加密(WPA3个人版),12345678,tx rx,TCP,,,否,
2,2.4G,XiaomiAX3000_2.4G,,2,20MHz,强混合加密(WPA3/WPA2个人版),12345678,tx rx,TCP,,,是,PSK
3,2.4G,XiaomiAX3000_2.4G,,3,40MHz,强加密(WPA2个人版),12345678,tx rx,TCP,,,否,
4,2.4G,XiaomiAX3000_2.4G,,4,40/20MHz,混合加密(WPA/WPA2个人版),12345678,tx rx,TCP,,,否,
5,2.4G,XiaomiAX3000_2.4G,,5,20MHz,无加密(允许所有人连接),,tx rx,TCP,,,是,NONE
6,2.4G,XiaomiAX3000_2.4G,,6,40MHz,超强加密(WPA3个人版),12345678,tx rx,TCP,,,否,
7,2.4G,XiaomiAX3000_2.4G,,7,40/20MHz,强混合加密(WPA3/WPA2个人版),12345678,tx rx,TCP,,,是,PSK
8,2.4G,XiaomiAX3000_2.4G,,8,20MHz,强加密(WPA2个人版),12345678,tx rx,TCP,,,否,
9,2.4G,XiaomiAX3000_2.4G,,9,40MHz,混合加密(WPA/WPA2个人版),12345678,tx rx,TCP,,,是,PSK
10,2.4G,XiaomiAX3000_2.4G,,10,40/20MHz,无加密(允许所有人连接),,tx rx,TCP,,,是,NONE
11,2.4G,XiaomiAX3000_2.4G,,11,20MHz,超强加密(WPA3个人版),12345678,tx rx,TCP,,,否,
12,2.4G,XiaomiAX3000_2.4G,,12,40MHz,强混合加密(WPA3/WPA2个人版),12345678,tx rx,TCP,,,是,PSK
13,2.4G,XiaomiAX3000_2.4G,,13,40/20MHz,强加密(WPA2个人版),12345678,tx rx,TCP,,,否,
14,2.4G,XiaomiAX3000_2.4G,,1,20MHz,混合加密(WPA/WPA2个人版),12345678,tx rx,TCP,,,否,
15,2.4G,XiaomiAX3000_2.4G,,2,40MHz,无加密(允许所有人连接),,tx rx,TCP,,,是,NONE
16,2.4G,XiaomiAX3000_2.4G,,3,40/20MHz,超强加密(WPA3个人版),12345678,tx rx,TCP,,,否,
17,2.4G,XiaomiAX3000_2.4G,,4,20MHz,强混合加密(WPA3/WPA2个人版),12345678,tx rx,TCP,,,否,
18,2.4G,XiaomiAX3000_2.4G,,5,40MHz,强加密(WPA2个人版),12345678,tx rx,TCP,,,是,PSK
19,2.4G,XiaomiAX3000_2.4G,,6,40/20MHz,混合加密(WPA/WPA2个人版),12345678,tx rx,TCP,,,是,PSK
20,2.4G,XiaomiAX3000_2.4G,,7,20MHz,无加密(允许所有人连接),,tx rx,TCP,,,否,
21,2.4G,XiaomiAX3000_2.4G,,8,40MHz,超强加密(WPA3个人版),12345678,tx rx,TCP,,,否,
22,2.4G,XiaomiAX3000_2.4G,,9,40/20MHz,强混合加密(WPA3/WPA2个人版),12345678,tx rx,TCP,,,是,PSK
23,2.4G,XiaomiAX3000_2.4G,,10,20MHz,强加密(WPA2个人版),12345678,tx rx,TCP,,,否,
24,2.4G,XiaomiAX3000_2.4G,,11,40/20MHz,混合加密(WPA/WPA2个人版),12345678,tx rx,TCP,,,否,
25,2.4G,XiaomiAX3000_2.4G,,12,20MHz,无加密(允许所有人连接),,tx rx,TCP,,,否,
26,2.4G,XiaomiAX3000_2.4G,,13,40MHz,超强加密(WPA3个人版),12345678,tx rx,TCP,,,否,
27,2.4G,XiaomiAX3000_2.4G,,1,40/20MHz,强混合加密(WPA3/WPA2个人版),12345678,tx rx,TCP,,,是,PSK
28,2.4G,XiaomiAX3000_2.4G,,2,20MHz,强加密(WPA2个人版),12345678,tx rx,TCP,,,否,
29,2.4G,XiaomiAX3000_2.4G,,3,40MHz,混合加密(WPA/WPA2个人版),12345678,tx rx,TCP,,,是,PSK
30,2.4G,XiaomiAX3000_2.4G,,4,40/20MHz,无加密(允许所有人连接),,tx rx,TCP,,,否,
31,2.4G,XiaomiAX3000_2.4G,,5,20MHz,超强加密(WPA3个人版),12345678,tx rx,TCP,,,是,PSK
32,2.4G,XiaomiAX3000_2.4G,,6,40MHz,强混合加密(WPA3/WPA2个人版),12345678,tx rx,TCP,,,否,
33,2.4G,XiaomiAX3000_2.4G,,7,40/20MHz,强加密(WPA2个人版),12345678,tx rx,TCP,,,否,
34,2.4G,XiaomiAX3000_2.4G,,8,20MHz,混合加密(WPA/WPA2个人版),12345678,tx rx,TCP,,,否,
35,2.4G,XiaomiAX3000_2.4G,,9,40/20MHz,无加密(允许所有人连接),,tx rx,TCP,,,否,
36,2.4G,XiaomiAX3000_2.4G,,10,20MHz,超强加密(WPA3个人版),12345678,tx rx,TCP,,,否,
37,2.4G,XiaomiAX3000_2.4G,,11,40MHz,强混合加密(WPA3/WPA2个人版),12345678,tx rx,TCP,,,否,
38,2.4G,XiaomiAX3000_2.4G,,12,40/20MHz,强加密(WPA2个人版),12345678,tx rx,TCP,,,否,
39,2.4G,XiaomiAX3000_2.4G,,13,20MHz,混合加密(WPA/WPA2个人版),12345678,tx rx,TCP,,,否,
40,5G,XiaomiAX3000_5G,,36,160/80/40/20MHz,超强加密(WPA3个人版),12345678,rx tx,TCP,,,否,
41,5G,XiaomiAX3000_5G,,40,20MHz,强混合加密(WPA3/WPA2个人版),12345678,rx tx,TCP,,,是,PSK
42,5G,XiaomiAX3000_5G,,44,40MHz,强加密(WPA2个人版),12345678,rx tx,TCP,,,否,
43,5G,XiaomiAX3000_5G,,48,80MHz,混合加密(WPA/WPA2个人版),12345678,rx tx,TCP,,,否,
44,5G,XiaomiAX3000_5G,,40,160/80/40/20MHz,无加密(允许所有人连接),,rx tx,TCP,,,是,NONE
45,5G,XiaomiAX3000_5G,,153,20MHz,超强加密(WPA3个人版),12345678,rx tx,TCP,,,否,
46,5G,XiaomiAX3000_5G,,157,40MHz,强混合加密(WPA3/WPA2个人版),12345678,rx tx,TCP,,,否,
47,5G,XiaomiAX3000_5G,,161,80MHz,强加密(WPA2个人版),12345678,rx tx,TCP,,,否,
48,5G,XiaomiAX3000_5G,,165,20MHz,混合加密(WPA/WPA2个人版),12345678,rx tx,TCP,,,否,
49,5G,XiaomiAX3000_5G,,36,40MHz,无加密(允许所有人连接),,rx tx,TCP,,,否,
50,5G,XiaomiAX3000_5G,,40,80MHz,超强加密(WPA3个人版),12345678,rx tx,TCP,,,否,
51,5G,XiaomiAX3000_5G,,44,160/80/40/20MHz,强混合加密(WPA3/WPA2个人版),12345678,rx tx,TCP,,,否,
52,5G,XiaomiAX3000_5G,,48,20MHz,强加密(WPA2个人版),12345678,rx tx,TCP,,,是,PSK
53,5G,XiaomiAX3000_5G,,149,40MHz,混合加密(WPA/WPA2个人版),12345678,rx tx,TCP,,,否,
54,5G,XiaomiAX3000_5G,,153,80MHz,无加密(允许所有人连接),,rx tx,TCP,,,否,
55,5G,XiaomiAX3000_5G,,48,160/80/40/20MHz,超强加密(WPA3个人版),12345678,rx tx,TCP,,,否,
56,5G,XiaomiAX3000_5G,,161,20MHz,强混合加密(WPA3/WPA2个人版),12345678,rx tx,TCP,,,否,
57,5G,XiaomiAX3000_5G,,165,20MHz,强加密(WPA2个人版),12345678,rx tx,TCP,,,否,
58,5G,XiaomiAX3000_5G,,36,80MHz,混合加密(WPA/WPA2个人版),12345678,rx tx,TCP,,,否,
59,5G,XiaomiAX3000_5G,,40,160/80/40/20MHz,无加密(允许所有人连接),,rx tx,TCP,,,否,
60,5G,XiaomiAX3000_5G,,44,20MHz,超强加密(WPA3个人版),12345678,rx tx,TCP,,,否,
61,5G,XiaomiAX3000_5G,,48,40MHz,强混合加密(WPA3/WPA2个人版),12345678,rx tx,TCP,,,否,
62,5G,XiaomiAX3000_5G,,149,80MHz,强加密(WPA2个人版),12345678,rx tx,TCP,,,否,
63,5G,XiaomiAX3000_5G,,44,160/80/40/20MHz,混合加密(WPA/WPA2个人版),12345678,rx tx,TCP,,,否,
64,5G,XiaomiAX3000_5G,,157,20MHz,无加密(允许所有人连接),,rx tx,TCP,,,否,
65,5G,XiaomiAX3000_5G,,161,40MHz,超强加密(WPA3个人版),12345678,rx tx,TCP,,,是,PSK
66,5G,XiaomiAX3000_5G,,165,20MHz,强混合加密(WPA3/WPA2个人版),12345678,rx tx,TCP,,,否,
67,5G,XiaomiAX3000_5G,,36,160/80/40/20MHz,强加密(WPA2个人版),12345678,rx tx,TCP,,,否,
68,5G,XiaomiAX3000_5G,,40,20MHz,混合加密(WPA/WPA2个人版),12345678,rx tx,TCP,,,否,
69,5G,XiaomiAX3000_5G,,44,40MHz,无加密(允许所有人连接),,rx tx,TCP,,,是,NONE
70,5G,XiaomiAX3000_5G,,48,80MHz,超强加密(WPA3个人版),12345678,rx tx,TCP,,,否,
71,5G,XiaomiAX3000_5G,,48,160/80/40/20MHz,强混合加密(WPA3/WPA2个人版),12345678,rx tx,TCP,,,否,
72,5G,XiaomiAX3000_5G,,153,20MHz,强加密(WPA2个人版),12345678,rx tx,TCP,,,否,
73,5G,XiaomiAX3000_5G,,157,40MHz,混合加密(WPA/WPA2个人版),12345678,rx tx,TCP,,,是,PSK
74,5G,XiaomiAX3000_5G,,161,80MHz,无加密(允许所有人连接),,rx tx,TCP,,,否,
75,5G,XiaomiAX3000_5G,,165,20MHz,超强加密(WPA3个人版),12345678,rx tx,TCP,,,否,
76,5G,XiaomiAX3000_5G,,36,20MHz,强混合加密(WPA3/WPA2个人版),12345678,rx tx,TCP,,,是,PSK
77,5G,XiaomiAX3000_5G,,40,40MHz,强加密(WPA2个人版),12345678,rx tx,TCP,,,否,
78,5G,XiaomiAX3000_5G,,44,80MHz,混合加密(WPA/WPA2个人版),12345678,rx tx,TCP,,,否,
79,5G,XiaomiAX3000_5G,,48,160/80/40/20MHz,无加密(允许所有人连接),,rx tx,TCP,,,否,
80,5G,XiaomiAX3000_5G,,149,20MHz,超强加密(WPA3个人版),12345678,rx tx,TCP,,,否,
81,5G,XiaomiAX3000_5G,,153,40MHz,强混合加密(WPA3/WPA2个人版),12345678,rx tx,TCP,,,否,
