serial   ,band   ,ssid          ,wireless_mode         ,channel,bandwidth               ,authentication_method,wpa_passwd,test_type,protocol_type,wep_encrypt,wep_passwd,hide_ssid,hide_type
1,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,1,20MHz                   ,OPEN                 ,          ,tx rx    ,TCP          ,           ,          ,否        ,
2,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,1,40MHz                   ,WPA2(AES)-PSK        ,12345678,tx rx    ,TCP          ,           ,          ,是,PSK
3,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,2,20MHz/40MHz             ,WPA-PSK/WPA2-PSK         ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
4,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,2,20MHz                   ,WPA2-PSK/WPA3-PSK       ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
5,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,3,40MHz                    ,OPEN                  ,           ,tx rx    ,TCP          ,           ,          ,是,NONE
6,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,3,20MHz/40MHz              ,WPA2(AES)-PSK       ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
7,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,4,20MHz                    ,WPA-PSK/WPA2-PSK     ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
8,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,4,40MHz                    ,WPA2-PSK/WPA3-PSK    ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
9,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,5,20MHz/40MHz             ,OPEN                  ,          ,tx rx    ,TCP          ,           ,          ,否        ,
10,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,5,20MHz                    ,WPA2(AES)-PSK         ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
11,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n              ,6,40MHz                    ,WPA-PSK/WPA2-PSK      ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
12,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,6,20MHz/40MHz              ,WPA2-PSK/WPA3-PSK      ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
13,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,7,20MHz                    ,OPEN                ,          ,tx rx    ,TCP          ,           ,          ,否        ,
14,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,7,40MHz                    ,WPA2(AES)-PSK       ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
